## Database of items associated with the metric system.
## 
## This file contains descriptions of units and items that are in common use in
## the "metric system" outside of the scope of the SI. This includes "metric"
## units that predate the SI or enjoy common use within the scientific or
## international community despite not having official status within the SI.



# TODO Citations for all of this!



## Alternative forms of SI prefixes.

## I remember having an old composition notebook way back in 5th grade with a
## table of metric prefixed printed on the inside cover, and I could swear that
## the table showed the symbol for deka- (with a k 'cause America) as being
## "dk".
P | dk | 1e1

## For ASCII compatibility purposes, the symbol u- is often used to represent
## micro-. In certain reliability-critical contexts, the symbol mc- is
## occasionally used to represent micro- as well.
P | u  | 1e-6
P | mc | 1e-6



## Units of duration.

## The symbol sec is often used to represent the second.
U | sec | DUR | 1
## The dyne, symbol: dyn, defined as 10 micronewtons.
U | dyn | MAS * LEN * DUR^-2 | 1e-5



## Units of pressure.

## The bar, symbol: bar, defined as 100 kilopascals.
U | bar | MAS * LEN^-1 * DUR^-2 | 1e5

## The standard atmosphere, symbol: atm, defined as 101 325 pascals.
U | atm | MAS * LEN^-1 * DUR^-2 | 101 325

## The torr, symbol: Torr, defined as 1/760 standard atmospheres.
U | Torr | MAS * LEN^-1 * DUR^-2 | 20 265/152

## The metre of mercury, symbol: mHg, accepted to be 133 322.4 pascals
## [2, sec. 5, p. 12].
U | mHg | MAS * LEN^-1 * DUR^-2 | 133 322.4

## The barye, symbol: Ba, defined as 0.1 pascals.
U | Ba | MAS * LEN^-1 * DUR^-2 | 0.1



## Units of energy.

## The symbol Wh is often used to represent the watt-hour.
U | Wh | MAS * LEN^2 * DUR^-2 | 3 600

# TODO there are a bunch of different "calories."

## The erg, symbol: erg, defined as 0.1 microjoules.
U | erg | MAS * LEN^2 * DUR^-2 | 1e-7



## Units of power.

## The *Pferdestärke*, aka the metric horsepower, symbol: PS, defined as
## 735.498 75 watts.
U | PS | MAS * LEN^2 * DUR^-3 | 735.498 75



# TODO CGS-ESU is stupid.




## Units of volume.

## The symbol cc is often used to represent the centimeter cubed.
U | cc | LEN^3 | 0.000 001



## Units of velocity.

## The speed of light in a vacuum, aka *c*, symbol: c, defined as 299 792 458
## metres per second.
## 
## While this isn't so much a "unit" as much as it is a "physical constant",
## enough things are measured relative to this physical constant that I feel
## comfortable including it as a unit in its own right.
U | c | LEN * DUR^-1 | 299 792 458

## The symbols kn and kt are used to represent the knot, an alternate name for
## the nautical mile per hour.
U | kn | LEN * DUR^-1 | 463/900
U | kt | LEN * DUR^-1 | 463/900



## Units of acceleration.

## The standard acceleration due to gravity, aka *g*_0, symbol: g_0, defined as
## 9.806 65 metres per second squared. The symbol g0 is often used to represent
## this unit for technical expediency. The symbol g is often used to represent
## this unit in contexts where the difference between standard gravity and local
## gravity are negligible or unimportant.
## 
## While this isn't so much a "unit" as much as it is a "physical constant",
## enough things are measured relative to this physical constant that I feel
## comfortable including it as a unit in its own right.
U | g_0 | LEN * DUR^-2 | 9.806 65
U | g0  | LEN * DUR^-2 | 9.806 65
U | g   | LEN * DUR^-2 | 9.806 65

## The gal, symbol: Gal, defined as the centimetre per second squared.
U | Gal | LEN * DUR^-2 | 0.01






# Quotes and prime/double prime for minutes and seconds
# Ohm as "ohm"
# cps, rpm (as a unit of frequency and as a unit of angular velocity)
# molarity, molality

# Gal
# Dyne
# Erg
# Barye
# Poise
# Stokes
# Kayser





## References
## 
## [1]: M. Allison and R. Schmunk. "Mars24 Sunclock -- Time on Mars." NASA GISS.
##      https://www.giss.nasa.gov/tools/mars24/help/notes.html.
## [2]: *The International System of Units (SI) - Conversion Factors for General
##      Use*, National Institute of Standards and Technology, May 2006.
